code,slug,name,province,region,kind,website,source_url,groups,tuition_display,address,name_en
SNH,ai-hoc-ngo-quyen,Đại học Ngô Quyền,Bình Dương,Nam,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/truong-si-quan-cong-binh-he-dan-su-dai-hoc-ngo-quyen/,{},,,
NTT,ai-hoc-nguyen-tat-thanh,Đại Học Nguyễn Tất Thành,TP HCM,Nam,DaiHoc,http://tuyensinh.ntt.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-nguyen-tat-thanh/,{},,,
NTU,ai-hoc-nguyen-trai,Đại Học Nguyễn Trãi,Hà Nội,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-nguyen-trai/,{},,,
TSN,ai-hoc-nha-trang,Đại Học Nha Trang,Khánh Hòa,Trung,DaiHoc,https://tuyensinh.ntu.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-nha-trang/,{},,,
GNT,ai-hoc-su-pham-nghe-thuat-trung-uong,Đại Học Sư Phạm Nghệ Thuật Trung Ương,Hà Nội,Bac,DaiHoc,http://www.spnttw.edu.vn,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-su-pham-nghe-thuat-trung-uong/,{},,,
XDA,ai-hoc-xay-dung-ha-noi,Đại Học Xây Dựng Hà Nội,Hà Nội,Bac,DaiHoc,http://www.tuyensinh.nuce.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-xay-dung-ha-noi/,{},,,
SKN,ai-hoc-su-pham-ky-thuat-nam-inh,Đại Học Sư Phạm Kỹ Thuật Nam Định,Nam Định,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-su-pham-ky-thuat-nam-dinh/,{},,,
MBS,ai-hoc-mo-tphcm,Đại Học Mở TPHCM,TP HCM,Nam,DaiHoc,http://tuyensinh.ou.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-mo-tphcm/,{},,,
DCH,truong-si-quan-ac-cong,Trường Sĩ Quan Đặc Công,Hà Nội,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/truong-si-quan-dac-cong/,{},,,
PCH,ai-hoc-phong-chay-chua-chay-he-dan-su-phia-bac,Đại Học Phòng Cháy Chữa Cháy ( Hệ Dân sự Phía Bắc ),Hà Nội,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-phong-chay-chua-chay-he-dan-su-phia-bac/,{},,,
